ADM1_EN,ADM1_PCODE,Sex,Age,pop_2015,pop_2020
Western,ZMB80,female,55-59,10054.9427998844,15406.6181253958
Central,ZMB10,male,55-59,12345.1692538293,15631.0779900593
Copperbelt,ZMB20,male,55-59,22265.2333990883,27500.1067267428
Luapula,ZMB40,male,55-59,9846.23214347658,14018.7862548443
Lusaka,ZMB50,male,55-59,16688.2235315422,23770.6566070782
North Western,ZMB60,male,55-59,6464.71064957069,7503.40579102614
Southern,ZMB70,male,55-59,11073.8628257072,16655.0625905798
Western,ZMB80,male,55-59,7931.00494349859,10516.930936543
Central,ZMB10,female,60-64,11248.3625086717,11499.4092674253
Copperbelt,ZMB20,female,60-64,15398.7216995848,19141.0735810847
Luapula,ZMB40,female,60-64,9416.53373322511,8989.88585008674
Lusaka,ZMB50,female,60-64,13204.6451356773,14891.1589733084
North Western,ZMB60,female,60-64,6318.06314901332,6114.26030074092
Southern,ZMB70,female,60-64,12184.9119074485,11577.8126221035
Western,ZMB80,female,60-64,10656.5205742365,9403.21262448166
Central,ZMB10,male,60-64,10322.1701460942,11216.8329343459
Copperbelt,ZMB20,male,60-64,17495.823876571,20230.2148004568
Luapula,ZMB40,male,60-64,8066.05301529191,8946.29648707926
Lusaka,ZMB50,male,60-64,12828.042065854,15162.9381534126
North Western,ZMB60,male,60-64,4863.80876848608,5873.84333834042
Southern,ZMB70,male,60-64,8802.92733995025,10061.7234035044
Western,ZMB80,male,60-64,6973.3913435096,7206.11834200539
Central,ZMB10,female,65-69,7702.02069932884,10190.5471800165
Copperbelt,ZMB20,female,65-69,10892.9478793172,13950.5989372772
Luapula,ZMB40,female,65-69,7489.02943581137,8530.98515552546
Lusaka,ZMB50,female,65-69,8402.95599543099,11962.8585937101
North Western,ZMB60,female,65-69,4766.0437681145,5723.90097501649
Southern,ZMB70,female,65-69,9535.48717406539,11039.0200637884
Western,ZMB80,female,65-69,7845.0652614483,9654.36224922139
Central,ZMB10,male,65-69,7104.8703602986,9036.95531538169
Copperbelt,ZMB20,male,65-69,11228.484227635,15317.4176588479
Luapula,ZMB40,male,65-69,5807.06708711275,7061.74725477648
Lusaka,ZMB50,male,65-69,8249.9609983153,11230.8216520894
North Western,ZMB60,male,65-69,3935.04126495607,4258.21437973346
Southern,ZMB70,male,65-69,7093.62106034826,7706.87207808778
Western,ZMB80,male,65-69,5856.17547685577,6105.13182827885
Central,ZMB10,female,70-74,5898.38294062525,6585.58627196866
Copperbelt,ZMB20,female,70-74,7813.20353940021,9313.97827071764
Luapula,ZMB40,female,70-74,4763.51380507346,6403.47011843004
Lusaka,ZMB50,female,70-74,6225.7194980154,7184.91886141265
North Western,ZMB60,female,70-74,3727.29063916647,4075.1892060131
Southern,ZMB70,female,70-74,7765.13424162047,8153.28485097479
Western,ZMB80,female,70-74,5942.11515890607,6707.89611969565
Central,ZMB10,male,70-74,5764.32878288377,5824.31396314577
Copperbelt,ZMB20,male,70-74,7765.26977535481,9204.70421904494
Luapula,ZMB40,male,70-74,4763.51380507346,4760.42203623639
Lusaka,ZMB50,male,70-74,5484.2822043009,6763.01917265545
North Western,ZMB60,male,70-74,3189.58313712278,3225.80351943355
Southern,ZMB70,male,70-74,5860.47867292111,5815.09205669139
Western,ZMB80,male,70-74,5217.76641019644,4800.67875432596
Central,ZMB10,female,75-79,4167.86563159883,4563.03663839065
Copperbelt,ZMB20,female,75-79,4805.35984555136,6044.35816041813
Luapula,ZMB40,female,75-79,2823.73241022396,3685.09336597976
Lusaka,ZMB50,female,75-79,4295.6287651713,4816.26696435818
North Western,ZMB60,female,75-79,2273.03625863922,2883.46254623811
Southern,ZMB70,female,75-79,5237.80281392324,6007.1708060356
Western,ZMB80,female,75-79,4247.87571277169,4596.86817661456
Central,ZMB10,male,75-79,4716.26900417763,4226.36878798795
Copperbelt,ZMB20,male,75-79,5596.26695230046,5693.44675919324
Luapula,ZMB40,male,75-79,3302.53921021845,3492.57839477052
Lusaka,ZMB50,male,75-79,3271.73916908938,4021.04189119299
North Western,ZMB60,male,75-79,2761.86126049712,2338.58165903356
Southern,ZMB70,male,75-79,4419.777665828,4296.86571755571
Western,ZMB80,male,75-79,3830.45439995598,3825.63329628643
Central,ZMB10,female,80+,4021.62473224449,4765.23756194083
Copperbelt,ZMB20,female,80+,5128.91275285781,5743.13422291895
Luapula,ZMB40,female,80+,2222.1546358719,2974.19003795718
Lusaka,ZMB50,female,80+,5131.21682634161,5410.3818908005
North Western,ZMB60,female,80+,2835.1850107758,2923.62665014307
Southern,ZMB70,female,80+,5384.31478074627,6155.65419279002
Western,ZMB80,female,80+,6077.16323069939,5857.74390824681
Central,ZMB10,male,80+,4570.02810482328,4972.47853523196
Copperbelt,ZMB20,male,80+,4397.92285116546,5430.86024252632
Luapula,ZMB40,male,80+,2443.14238971551,3135.204572048
Lusaka,ZMB50,male,80+,3495.34724179692,3598.36914856449
North Western,ZMB60,male,80+,2602.9931348933,2878.35544799395
Southern,ZMB70,male,80+,4407.56833525942,4717.06304407494
Western,ZMB80,male,80+,5831.62128198426,5009.59077432111
